Name,Web,Facebook,Twitter,Instagram,About,Bingley Artist,BMT Member,LastUpdated
Playing For Kicks,https://playingforkicks.co.uk/,https://www.facebook.com/Playingforkicks/,,https://www.instagram.com/playingforkicksband/,,yes,yes,2023-02-23
Jackals,,https://www.facebook.com/profile.php?id=100075618526834,,,,no,no,2023-02-23
TMP,,https://www.facebook.com/TMPband,,,,no,no,2023-02-23
Last Orders,https://lastordersmusic.wordpress.com/,https://www.facebook.com/lastordersrocknroll,,,,not known,no,2023-02-23
John Drury,https://johndrury.bandcamp.com/album/come-up-to-london,,,,,no,no,2023-02-23
Mark Ostyn,,,,,,yes,no,2023-02-23
Dr Andrew Filmer,,,,,,no,no,2023-02-23
Frankie Heart,,https://www.facebook.com/frankieheartofficial,,,Northern Soul & Motown Singer,no,no,2023-02-24
Fay and Latta,https://www.fayandlatta.co.uk,https://www.facebook.com/fayandlatta,,,Acoustic songs and original material.,no,no,2023-02-24
Calm Before The Storm,,https://www.facebook.com/profile.php?id=100089371275180,,,"Bradford based Acoustic Duo, Stan Greenwood & Innis Stiles",no,no,2023-02-24
Eddie Earthquake and the Tremors,,https://www.facebook.com/eddieearthquakeandthetremors,,,Authentic and energetic beat combo with great harmonies playing rock n roll and pop hits,not known,no,2023-03-08
Wilson,https://www.wilsonmusicuk.com/,https://www.facebook.com/WilsonMusicUK/,,,"Musician, acoustic guitarist, singer and songwriter from Yorkshire,",no,no,2023-03-08
Augustin Bousfield,https://www.augustinbousfield.com/,https://www.facebook.com/augustin.bousfield,https://twitter.com/augustinbo,,"Augustin is from Bradford, UK and has played with Gurgles, Mucky Sailor, Henry Parker,  Nope and many others as well as performing as Lord Adonis, and remixing as Tomorrows Dad. He has recently been co-producing Saint Etienne’s latest album. He’s performed improv sound and noise, solo and with others at Bradford’s Threadfest, Fundada Festival in Halifax, Vespertine Festival in York and the launch of the Doctor Who exhibition at the National Science and Media Museum with jazz pianist Matthew Bourne and baritone guitarist Andy Abbott.",no,no,2023-03-10
Pop Up Brass,,,,,,no,no,2023-03-13
