Instrument ID,Item,Image,Description,DateIn,CameFromID,ReservedFor,ReservedDate,DateOut,GoneToID,SpecialRequirements,Notes
1,Classical Guitar,,,April 2023,1,,,April 2023,1,"A classical guitar, drum sticks, and other bits and pieces that went to a gigging drummer, and the guitar went to a singer in a punk band who  is also learning to play guitar.",
2,Keyboard,,,April 2023,2,,,April 2023,2,A keyboard that was found in a house clearance and went to the student of a Wilsden music teacher.,
3,Yamaha Keyboard,yamaha_prs-275.jpg,,April 2023,2,,,May 2023,3,Another keyboard that went to a family where the child learns at school but they could not afford an instrument at home.,
4,Clarinet,clarinet.jpg,LaFleur Clarinet with a case.,14/06/2023,4,Myrtle Park,20/06/2023,June 2023,5,"Donated to Myrtle Park Primary School, where children have clarinet lessons via Bradford's Music Hub.",
5,Guitar,Guitar_IMG-20230621-WA0000.jpg,3/4 Herald Classical (1),20/06/2023,3,,,24/09/2024,,One of six guitars donated by the Accessible Inclusive Music charity to pass on to anyone who is interested. ,
6,Guitar,Guitar_IMG-20230621-WA0001.jpg,Dulcet Classic,20/06/2023,3,,,18/12/2023,11,One of six guitars donated by the Accessible Inclusive Music charity. Went to a young local producer.,
7,Guitar,Guitar_IMG-20230621-WA0002.jpg,Martin Smith Acoustic,20/06/2023,3,,,06/11/2023,7,One of six guitars donated by the Accessible Inclusive Music charity to pass on to anyone who is interested. Gone to an adult that already plays other instruments but is keen to explore the guitar in addition.,
8,Guitar,Guitar_IMG-20230616-WA0000.jpg,Kyoto Classical,20/06/2023,3,,,24/09/2025,,One of six guitars donated by the Accessible Inclusive Music charity to pass on to anyone who is interested.,
9,Guitar,Guitar_IMG-20230616-WA0001.jpg,3/4 Admira Clasico,20/06/2023,3,,,18/03/2024,14,This has gone to a young guitarist. The 3/4 size is just right. One of six guitars donated by the Accessible Inclusive Music charity to pass on to anyone who is interested.,
10,Guitar,Guitar_IMG-20230621-WA0003.jpg,3/4 Herald Classical (2),20/06/2023,3,,,06/11/2023,6,One of six guitars donated by the Accessible Inclusive Music charity to pass on to anyone who is interested. Given to a young adult who is starting to learn guitar.,
11,Amplifier,nobels_amp.jpg,Nobels Streetman busker's battery powered 10W Amp,20/06/2023,5,,,06/06/2024,8,Went to someone just starting to play amplified music.,
12,Keyboard and Stand,yamaha_prs-275_thanks.jpg,Yamaha PSR-295,20/06/2023,6,,01/07/2023,25/07/2023,4,"This went to a Bingley family with two primary school aged children who were looking to start playing keyboard. The donor said ""I saw your post a little while ago about wanting Instruments to pass on to kids or learning musicians that may not otherwise be able to afford it. I have a Yamaha Keyboard and Stand here that is being wasted and we would love for that to go to someone and give them the start and the platform to learn and become a musician.""",Additional image: yamaha_prs-275.jpg
13,Acoustic Guitar,blue-moon-acoustic-guitar.jpg,Blue Moon GR5209V,09/08/2023,7,,,01/11/2023,,"This went to a music student who was trading up to a better instrument. Good condition, hardly played, no problems as far as I'm aware. No case, but has stand, electronic tuner, capo and a couple of learn to play books & CDs. Bought from Hobgoblin Leeds 7 or 8 years ago.",
14,Bass Guitar,bass_liberty.jpg,Liberty Bass Guitar,06/11/2023,8,,,08/11/2023,8,This bass was donated and immediately found a home with someone who has been after a bass for sometime. With an active and a non-active pickup and unusually long 24 fret neck it's quite a thing.,
15,Black Acoustic Guitar,black_guitar.jpeg,Black Acoustic guitar with steel strings,06/11/2023,,,,24/09/2025,,This was donated in return for another guitar as a student traded up to a better instrument. Currently out at a volunteer luthier to be fixed up a little before going to a new home.,
16,Child's Violin,skylark_violin.jpg,Skylark child’s violin with case and bow. ,22/11/2023,9,,,24/12/2024,,In need of strings and bow ‘hairs’. Bought in 1997 but hardly ever used and been in the loft ever since.,Gone to a child to encourage them to try a range of musical instruments.
18,Microphones,sony_mics.jpg,A set of Sony Stereo Mics,23/11/2023,8,,,18/12/2023,11,Went to a young local producer,
19,Microphone,Tonor_Mic.jpg,A budget condenser mic - needs phantom power,24/11/2023,8,,,28/11/2023,10,This went to Bradford College to be passed on to a student on the Music Production and Performance course.,
20,Amplifier,WEM_Clubman.jpg,A 5 watt vintage valve amp,25/11/2023,8,,05/12/2023,05/12/2023,17,This was sold on to raise money for a 'Strings and Things' fund which allows us to repair some of the instruments that come in.,
22,Snare Drum,snare.jpg,A snare drum for a marching band. ,26/11/2023,8,,,24/09/2025,,Looks like this once belonged to the Yorkshire Volunteers,
23,Keyboard,portasound.jpg,Yamaha Portasound PSR-550,24/12/2023,5,,,18/03/2024,13,This has gone to a young band that needs a keyboard to rehearse. A power adapter was provided by Bingley Guitar Studio.,
